"","Year","Sort Order","region","Notes","Code","Type of Data (a)","Total","Other South","Other North","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia (Plurinational State of)","Bonaire, Sint Eustatius and Saba","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","China, Hong Kong SAR","China, Macao SAR","Colombia","Comoros","Congo","Cook Islands","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Curaçao","Cyprus","Czechia","Dem. People's Republic of Korea","Democratic Republic of the Congo","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Eswatini","Ethiopia","Falkland Islands (Malvinas)","Faroe Islands","Fiji","Finland","France","French Guiana","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guadeloupe","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Holy See","Honduras","Hungary","Iceland","India","Indonesia","Iran (Islamic Republic of)","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Kuwait","Kyrgyzstan","Lao People's Democratic Republic","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mayotte","Mexico","Micronesia (Fed. States of)","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","North Macedonia","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Republic of Korea","Republic of Moldova","Réunion","Romania","Russian Federation","Rwanda","Saint Helena","Saint Kitts and Nevis","Saint Lucia","Saint Pierre and Miquelon","Saint Vincent and the Grenadines","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten (Dutch part)","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","South Sudan","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Thailand","Timor-Leste","Togo","Tokelau","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United Republic of Tanzania","United States of America","United States Virgin Islands","Uruguay","Uzbekistan","Vanuatu","Venezuela (Bolivarian Republic of)","Viet Nam","Wallis and Futuna Islands","Western Sahara","Yemen","Zambia","Zimbabwe","Northern_America","Northern_America2"
"11",1995,"1995019","Northern America",NA,905,NA,33340948,1846060,18308,50989,25703,19873,0,0,5186,121,17458,122383,55872,4190,68221,100300,12815,26339,802,72235,62603,34687,55253,36667,272,10056,17,44804,54,103330,131,159490,94,4242,28217,178,1389,20943,147413,8837,795940,91,92,356,0,92337,1345327,408993,12611,415920,29,182,0,60312,6014,51972,819094,379,14879,102053,106,9936,59254,300,19917,528550,233289,122346,682568,12,19164,15820,131,66688,0,278,42455,37131,200967,48,97,229,3795,9475,891625,55317,224,251095,0,30453,233,0,369056,3850,37,240732,373121,0,201802,154383,5890,986592,70001,301656,84748,191719,0,115383,856489,558474,341960,43382,11261,45861,0,20730,2550,204299,34505,156844,84,25976,6271,0,36174,2661,1538,338,60372,0,465,18670,3750,284,85,5784,0,6858058,4980,118,76,0,4238,46123,777,29556,232,0,7701,216091,85,27585,204830,124,103052,0,21835,0,44826,281,212485,0,98519,199,13918,228320,1331794,609834,363687,1384320,666,782020,17716,63,161108,340945,1453,0,11318,12813,392,23100,14172,0,0,22800,7615,8130,11622,14817,24745,108,10329,13749,0,38952,79834,0,91313,76831,28797,16580,4938,59846,59719,59320,2318,147275,0,426,0,14253,213987,9167,82143,847,160,0,18980,268612,8077,1313611,28093,248134,34,28778,20547,0,81154,903302,0,0,12979,6295,10928,1054522,1054522
"12",1995,"1995020","Oceania",NA,909,NA,5022287,67404,15814,8382,1315,2208,1617,181,370,0,15,13057,710,28,70752,23972,128,230,650,8277,345,829,5131,17,13,392,33,622,0,26278,413,4845,3,1911,2465,15,7,10,27443,55,35660,1,3,12,0,28801,140781,80131,1947,3436,0,130,16990,307,43,55933,438,54,23918,16181,237,291,10968,63,3,42,1316,40336,10028,0,1562,2556,178,2748,112,19,60470,9656,60216,3,3565,10,9,168,132366,1625,447,142981,0,92,4,1529,276,17,11,492,53,0,146,29068,480,92570,56635,19992,18129,60621,737,7358,261671,830,34662,2918,353,6448,4128,1761,88,11912,9573,79925,32,83,1390,8,4843,151,153,468,92611,113,12,57450,402,20,8,19621,44,1049,7124,19,80,3419,0,1767,528,11940,394,1491,1658,123041,4432,319391,785,7,1431,5517,46518,2353,3411,188,10179,2824,138,2760,343,4928,157614,75380,18951,1412,183,46382,316,52,13519,15593,27,21,19,13,0,47,67513,0,0,1185,195,49660,2797,195,33266,0,4671,8185,2341,2617,72165,0,15213,56557,3005,2734,76,7256,12729,6538,26,23292,4904,6,1808,23660,1205,1102,32718,18,0,2615,1218,17034,1005,1321202,1806,98760,0,11366,383,5375,915,161801,6478,0,314,3248,11320,134812,134812
"13",2000,"2000009","Africa",NA,903,NA,15051677,747639,279365,478,380,29016,0,0,690240,0,629,1322,390,0,4927,4094,24,78,1141,2674,13,865,6506,0,310747,26,0,69,0,368,22882,3219,10,60,1744,1265788,748463,12211,0,83332,7241,0,44940,191836,0,345,31977,704,0,292,50251,63940,0,0,463417,504,2044,0,2139,1087,491,724702,2267,4576,0,0,9,42266,675,46102,445073,80,32371,159662,0,0,20,1170,168275,0,0,7514,19491,0,53189,267625,30,6690,0,0,0,0,45,350536,44560,24,0,0,0,356,14,53762,14023,750,67052,5447,0,2572,24474,82,2890,21133,746,100813,0,11400,46,14,176,22609,119801,196620,18379,0,169,80,27232,172405,9199,46,715644,144,0,0,91271,8539,6162,174,0,273,11,0,0,15369,557172,100,46306,10,92,12112,0,1454,46,200494,287194,9,139,12,1000,1658,9137,0,25,25,50,90,5422,5178,32461,0,1332,2007,46,1079,1336,16412,303332,95,11,0,0,0,0,0,11991,38280,237221,1600,10767,458437,979,0,223,66,0,745346,84681,333894,5694,1988,309873,514947,0,2297,3594,31118,594,3820,17,234134,0,0,11,4953,3052,210,0,0,430932,2857,2711,170256,142436,32900,39,48,359,0,151,69,0,165911,22667,121397,266584,40167,40167
"14",2000,"2000009","Asia",NA,935,NA,49394322,2107537,848556,4382617,3805,31789,0,0,2523,0,0,35742,229036,67,44542,22115,637445,0,39582,5110121,0,134719,14445,0,4,0,119383,536,0,2944,4,332016,70,35346,470308,0,2,11,189383,26,50546,0,7,9332,0,3195,3334091,70020,82862,1987,0,555,0,82,2,276,170,0,9900,1433,53663,343,6673,2,0,5,485,1296024,5,0,13981,2674,71,131110,0,0,212,3586,60515,0,0,0,0,151889,316335,1874,2,70549,0,0,44,1056,276,0,0,0,10,0,2,17119,113,5729975,2061956,136915,727511,2680,0,99891,13802,7,75251,258549,92284,3387,0,56867,28626,354819,10726,92114,0,1,28639,0,19104,47,4,4,961596,613,0,55,0,0,255,367,0,3940,0,0,1726,0,0,175247,5,1161937,2,0,950128,32126,0,12786,5,30,7457,0,134503,0,15647,10420,2607928,1186,9,373,4,58147,1031165,96999,3018,56,10351,812406,41709,0,149164,3937679,1,0,0,0,0,0,0,0,0,64509,67,1224,9,2,73272,0,388,143,0,77733,14070,8732,6176,550382,2415769,317200,133,8599,16432,475689,106414,201892,143745,0,0,0,7,41541,118367,10451,0,0,881,629236,85759,203459,273,287815,26,5330,327662,0,678,230734,0,0,468515,920,139,338361,338361
"15",2000,"2000010","Europe",NA,908,NA,56858788,440152,941195,141085,772463,941981,1044,5544,206376,1024,3932,140063,575985,1613,181519,332569,975178,2198,4862,198131,21389,1504214,310864,1376,16863,3057,681,17387,3836,1337484,2939,219028,391,3396,165901,13270,7850,84913,80560,66489,172010,1083,10275,4225,12725,102523,488547,80515,3022,126568,20211,70229,10,5219,66667,761900,78071,52458,102910,276954,15051,121588,139505,3901,8937,77972,63005,173987,13408,13813,27906,120529,1269,65108,1110,12123,3743,264831,878231,4,116,10080,19748,803254,1769341,139974,7651,522373,12876,10709,20,4,13543,19939,33034,23292,33307,41,5776,225603,19190,659083,199803,304480,219412,564430,6667,57826,1631862,146304,122875,31162,3447899,142673,190,12175,534507,58165,184388,160511,599,10981,23354,2502,288285,36523,47720,12884,64537,386,56371,33842,0,0,15912,84956,0,52200,284,4690,28650,180395,8945,1821214,84324,12280,2284,13,11449,359401,147,69093,5584,4459,164121,0,318360,277,102893,2647,457941,21,5250,1573,6115,128048,237013,1191188,1297016,347,1651,94172,537121,21,764954,6329532,12179,3351,6378,8382,41,7149,429,3459,13154,15875,144335,1062996,4643,28030,49637,18735,233836,92541,347,120733,193532,2,821471,247897,6364,21709,184834,175942,256334,100848,431276,120181,4577,32265,2,369,23215,427231,2635324,211983,137,362,61572,4601796,7788,800842,39381,547959,168,32319,1222330,279,111570,323297,26,149,17059,25125,55290,735943,735943
"16",2000,"2000010","Latin America and the Caribbean",NA,904,NA,6570729,173606,69141,199,386,977,0,50,6834,1931,8154,223972,1314,4787,3930,9790,6,1834,56,58,5323,651,7943,4235,2,88,18,268994,506,38,5,179653,4841,2,2423,25,6,56,194,44,36067,87,13,22,100,271311,66672,3780,10,762627,1,111,13,23861,19,3143,68803,5650,128,6245,2720,59,2366,0,20655,109480,63963,4771,47596,2,27,228,3,232,24,2,13,920,150993,3584,6,6,16,23,67964,161,40,6760,398,14160,7529,8,62016,6,2,39619,287378,2,41883,6652,44,8946,754,1241,309,1667,0,8029,361043,22538,91394,1150,17,108,0,97,4,1512,457,30343,11,6,283,168,1145,268,30,7,276,2,88,77,0,13890,1,2,1,52484,10,31,13,233,2574,2030,1455,73,10,7,16,22673,5,680,260435,40,868,86,3550,7,1280,8,995,2,21664,5,351091,204362,3584,27540,280579,21913,33,16633,976,1108,8767,18973,7,576,11207,14142,73,17232,0,37,11,1801,152,987,0,1,173,1382,160,1930,0,39,1403,0,346934,28,1676,23,21918,4558,15307,21124,5,417,0,21,0,271,16179,127,3057,3,499,8,10,10514,43,40466,28,762783,3711,155461,10,199,87965,252,16,4,18,20,58,799409,799409
"17",2000,"2000011","Northern America",NA,905,NA,40351694,1646420,17949,68701,45849,31729,0,0,6921,139,21102,142095,68765,4510,81292,87453,15639,30061,1327,120023,68358,43843,54986,42552,401,10503,35,57027,53,127218,188,231149,119,4338,45436,322,2323,27603,159240,14341,844410,89,173,614,0,107825,1760798,446503,13693,540761,40,282,0,76170,9078,81203,900163,371,15686,101498,109,15049,55945,496,18834,710258,317469,152719,876916,15,22741,16402,164,85504,0,257,54227,36112,230652,50,144,426,6144,11568,900903,84106,253,245854,0,38905,347,0,506830,6512,50,299979,484645,0,294496,144589,6263,1367938,84750,364701,118575,186501,0,129163,800491,688954,382634,53088,13165,62162,0,30397,3036,223649,35574,176455,94,40699,7981,0,36067,2729,1932,391,72016,0,831,18156,6478,287,149,6611,0,9452861,7267,109,129,0,4614,61289,881,37139,302,0,13146,214300,114,32836,235373,203,148760,0,26419,0,39433,555,311613,0,110342,297,17256,303181,1640909,658702,364322,1576690,1089,968022,22360,64,200182,399150,2634,0,13805,17081,372,29242,16919,0,0,31458,12599,10545,1035,22369,30832,106,10617,15404,0,56814,102210,0,95625,116699,31278,27695,6551,58561,64940,71773,2846,182834,0,743,0,17811,266980,11908,98033,1027,123,0,22963,334623,13432,1308609,31353,259515,35,31913,25118,0,117706,1161967,0,0,20747,8373,15008,1114800,1114800
"18",2000,"2000011","Oceania",NA,909,NA,5361231,54117,53514,13294,1530,2556,2142,30,420,0,30,12393,980,60,68910,22810,190,270,770,11715,370,1360,5320,50,30,410,70,700,0,28650,670,5388,0,2100,3020,10,30,30,30248,70,38225,20,10,40,0,26815,202921,86424,2050,4209,0,130,19458,350,60,60428,510,90,22810,13754,380,310,11315,80,20,70,1460,38746,10670,0,1780,1970,240,4275,130,30,73702,9420,66944,10,4039,20,30,290,127622,2160,480,130780,0,130,10,1733,310,30,20,520,90,0,180,27092,560,112701,70180,23285,31197,60177,710,7380,235899,930,37724,3480,380,8310,3801,2510,100,11129,7370,79070,70,110,1400,20,3850,150,180,540,96014,170,20,52610,498,40,20,18530,52,1270,9354,30,120,5330,0,2011,630,12782,450,1570,2574,114440,4679,373171,800,20,1800,5659,49560,2476,3990,340,13689,2791,140,2283,360,5770,174191,68764,17990,1746,250,58921,570,90,15072,19668,50,21,19,13,0,47,77193,0,0,1780,240,52060,2790,260,38096,0,6360,8640,2381,5474,106009,0,14379,64300,3060,4090,90,8043,14864,7320,50,28054,0,20,2059,28263,1410,1220,34060,30,0,2241,1420,17857,1390,1342616,1998,100831,0,10570,490,5945,1170,168753,7360,0,390,4371,14917,139466,139466
"19",2005,"2005015","Africa",NA,903,NA,15969835,841977,332079,539,439,31086,0,0,477789,0,502,1653,413,0,6047,4773,29,65,1276,6573,16,992,7672,0,479386,33,0,90,0,434,28588,3553,12,72,2266,1346601,599870,14438,0,85711,8366,0,114996,195728,0,427,33854,913,0,379,65407,85237,0,0,572465,643,2248,0,2799,1357,495,932431,2758,4217,0,0,11,45725,758,53211,205561,103,42484,144359,0,0,25,1330,181352,0,0,21137,18816,0,59796,375804,38,8452,0,0,0,0,58,347204,47553,31,0,0,0,399,17,65753,15183,886,72123,7236,0,3246,28918,107,3317,22925,836,105868,0,12386,75,17,232,20427,157917,279406,18593,0,222,66,31603,205372,10122,73,820974,188,0,0,78535,10844,6410,220,0,308,13,0,0,16015,575408,130,60996,12,168,15103,0,1875,60,293873,334842,11,171,14,1282,1863,11429,0,32,32,65,116,6159,6556,38750,0,1494,2452,55,1083,1620,17949,257589,124,14,0,0,0,0,0,12717,41113,242680,2143,14460,82113,1170,0,288,50,0,742204,85427,233443,6562,3086,375406,756929,0,1934,3941,33642,663,4150,13,342715,0,0,14,5364,3503,234,0,0,457915,3314,3041,206141,150685,36683,54,63,403,0,196,90,0,130960,24533,131114,347018,45082,45082
"20",2005,"2005016","Asia",NA,935,NA,53439306,1915295,1080968,3592951,3846,38784,0,0,2042,0,0,38513,210015,54,53890,21719,490849,0,42883,5333365,0,133616,15284,0,6,0,115866,436,0,2437,6,302831,72,34007,483590,0,3,8,404529,38,57073,0,10,5836,0,3295,4052817,189155,95834,2444,0,449,0,78,8,314,184,0,10327,1621,59678,494,6871,3,0,7,395,1425008,7,0,14405,2576,73,157065,0,0,197,3467,75809,0,0,0,0,129306,321570,2026,3,76995,0,0,45,854,223,0,0,0,21,0,3,15770,109,6649685,2420817,105709,883443,2928,0,85463,16120,10,84638,309007,85467,3135,0,62100,29871,617620,8472,115995,0,0,26419,0,15239,50,6,6,1101497,956,0,63,0,0,317,342,0,4327,0,0,9304,0,0,170541,7,1717053,3,0,1062368,35836,0,13555,7,30,12626,0,138351,0,17397,11062,2883275,959,13,301,6,64993,1204850,81427,3524,46,11670,740602,35601,0,137511,3853196,2,0,0,0,0,0,0,0,0,56983,70,1789,18,3,99331,0,435,150,0,101856,16008,9630,6378,617974,2625950,373827,109,9057,17219,600227,101786,212126,80055,0,0,0,10,35443,125886,10395,0,0,819,637121,68908,223482,310,318043,24,5745,372574,0,600,283880,0,0,557852,884,203,375116,375116
"21",2005,"2005017","Europe",NA,908,NA,63594822,348602,650531,201567,894892,1478747,560,5691,219554,937,3799,342583,614325,2214,202942,358438,937213,2188,5577,267992,19239,1390276,348728,1368,23529,3573,906,117657,4496,1316627,3335,411090,358,4545,354005,19753,14785,96447,67825,109177,197529,928,16017,8153,14776,138312,724297,92655,2662,394704,30641,84828,10,7830,110953,683167,122624,61709,101049,486904,24261,155562,148705,7056,15272,136294,537519,219697,20278,18553,45164,130633,1793,85469,950,12314,4895,255423,986773,2,99,19419,30627,738396,2015795,176567,8835,421180,14333,9530,10,3,13423,45350,34987,27119,73302,110,12611,289990,21760,863702,196164,342920,305050,524377,7740,69269,1411361,147408,123944,33835,3614205,150526,190,15658,617968,47668,222191,177299,877,13128,44042,2793,354064,49441,114333,14692,75746,460,73275,32253,1,0,23204,89569,0,83969,139,18588,32205,143141,7701,2195178,84457,15607,3013,24,37034,412391,127,71753,7900,7635,265402,0,237186,164,115269,3262,608616,110,6793,1640,24091,232717,346134,2077138,1100491,83,2769,97342,645810,16,1723036,6018582,23593,2872,5832,12592,21,6931,613,2881,17057,30440,205236,851310,4986,35097,49937,22039,253772,94506,346,153484,233953,2,680254,297119,8149,30293,213345,189226,390254,125077,479925,176434,4188,41450,2,310,23747,521301,2469292,216950,114,494,63393,4544927,11627,1064169,40531,610756,161,82035,1326926,876,188882,375149,14,125,19401,28718,88964,826212,826212
"22",2005,"2005018","Latin America and the Caribbean",NA,904,NA,7224942,314728,68272,245,320,1039,0,57,6891,2013,8475,243039,1045,5488,4566,8419,6,1701,60,111,5509,490,8057,4510,16,118,18,354544,614,81,14,193873,5325,72,2007,31,16,690,182,145,36751,93,107,30,70,259375,81454,2908,14,863920,1,132,13,26165,195,3086,68287,6629,107,4946,1711,154,2331,0,20853,118288,70888,4517,49698,30,29,324,10,250,29,3,16,1129,158595,3734,9,23,19,3431,66085,196,32,5642,402,14866,8596,9,65302,40,471,46953,339553,3,47394,5691,285,10941,1230,1441,551,1683,1,7889,306018,26369,79353,1589,43,158,42,112,8,1299,482,27843,16,9,271,126,919,218,30,9,272,2,133,79,0,14106,2,3,1,55493,8,30,9,245,2750,1926,1523,83,12,10,20,24642,7,780,182906,43,994,48,2937,10,1679,9,1068,3,16713,7,493883,296657,5337,21492,240714,18609,43,22749,734,1124,7477,15067,9,749,12323,13697,88,17546,0,29,16,1863,214,964,0,2,193,1460,226,1509,1,56,1372,0,309952,42,1975,21,28145,4814,14326,20541,5,468,0,30,0,406,15940,109,2611,4,985,6,15,8365,42,41398,32,934084,3528,156144,12,186,92294,262,14,6,27,21,65,971443,971443
"23",2005,"2005019","Northern America",NA,905,NA,45363257,2252619,17302,82683,64467,47434,0,0,9780,103,24735,168662,71178,5250,88611,78919,17719,30642,1681,159388,68360,54237,54162,45953,1086,10737,1111,70286,52,138990,383,299489,105,4018,61212,793,4374,30266,168043,26091,845005,230,256,668,0,112616,2116911,430684,14782,620295,109,1004,0,84220,17975,81514,968633,368,17511,97627,355,26396,53101,943,28094,768743,376596,166692,1037828,40,27080,15131,235,128747,0,190,58409,32069,245518,62,131,681,11724,17080,849270,108577,269,226750,0,40222,454,0,657750,12607,67,319317,559751,0,389065,130767,5963,1815863,95464,409594,142402,172741,0,144939,714605,731568,384786,62656,17529,86541,0,33030,4700,217932,33483,187150,95,57096,10211,0,38868,2958,2635,529,77289,0,1188,16374,6179,415,332,9627,0,10672250,6933,138,607,750,5375,87317,982,54942,666,0,34431,198844,119,36410,245137,450,194243,0,29324,0,35291,1031,377686,0,108545,399,27384,372481,1948615,635932,343102,1618485,1361,1092585,32589,196,221237,431218,3830,0,15735,20704,320,31238,16164,0,0,43369,24307,34233,936,29146,35034,105,11513,14645,0,97445,111668,0,96281,141412,34366,40719,10773,56160,62447,75965,3794,206837,0,1563,0,16987,281673,15695,111210,1606,138,0,33879,355998,18654,1260729,41099,276899,45,44261,29385,0,155140,1258036,0,0,28657,14462,34158,1132961,1132961
"24",2005,"2005020","Oceania",NA,909,NA,6023412,58905,58663,20671,2270,2792,2028,30,450,0,30,13959,1110,50,74543,22319,300,270,1080,19437,380,1600,5790,60,30,460,130,770,0,38400,970,9216,0,2570,3440,20,430,30,33886,130,45277,40,10,40,0,28186,318105,87215,2100,6182,0,710,19561,380,200,71479,610,100,22450,14554,430,360,11905,120,20,110,1650,40022,10750,0,2280,1660,270,6999,120,40,93129,9490,77726,10,2486,30,80,400,133744,2820,490,129010,0,130,20,1675,350,220,20,560,90,0,230,25539,670,192007,75711,29391,42860,62337,760,8950,222507,1000,46078,4160,670,12293,3789,3120,240,11323,6310,84900,90,1360,1570,20,3300,170,220,760,115511,280,40,51380,474,30,20,20310,58,1820,11267,50,240,4020,0,2232,770,14136,740,1834,4604,112772,4972,431683,770,10,2580,5239,51320,2547,4380,840,20574,2714,170,2123,410,6680,201762,65196,18160,3633,440,83998,810,140,17860,22521,180,21,19,13,0,47,82456,0,0,3559,280,39290,2890,1570,47775,0,6060,8760,2653,6275,154005,0,14540,77653,3260,18590,100,9674,16071,8260,70,37440,10710,30,2088,31041,1560,1307,37460,60,0,2417,1880,17904,2800,1352397,2334,114753,0,10790,760,6375,1580,180367,7409,0,520,5796,29474,160490,160490
"25",2010,"2010015","Africa",NA,903,NA,17804198,1181481,454938,994,1557,29704,324,842,444047,0,485,2406,441,0,8610,6535,31,64,1428,11137,25,1143,10464,0,512689,51,0,140,0,526,41836,4574,428,83,3500,1408685,256309,16244,0,101291,10277,0,227943,185415,0,1888,43434,1417,0,568,74128,82203,0,0,781435,1761,4421,0,4343,1991,2002,1046347,3720,4638,0,0,12,46113,828,61615,196349,150,66275,162054,0,0,39,1610,208337,0,280,14828,18883,0,78458,399242,55,11529,0,302,767,0,87,374369,53243,48,0,0,0,434,26,86171,16816,1145,79349,11225,0,5782,37451,167,4526,25036,2413,123129,0,13536,90,26,363,21768,242000,127034,25119,0,347,68,34715,237836,11277,109,894802,294,0,0,77860,13243,6294,312,0,343,14,0,0,16080,721634,198,94390,18,266,21583,0,2866,93,325924,378016,17,216,21,1771,2038,15121,0,50,50,101,178,7137,9698,53897,0,1631,3234,59,1146,2187,21358,298306,194,21,0,0,0,0,0,13751,46048,259474,3356,16690,51938,2185,0,423,49,0,986414,85235,385700,8169,3769,408783,590500,0,1945,4659,37115,724,4951,8,366650,0,0,21,5918,4109,256,540,0,581414,4537,5841,163371,161257,43409,446,508,440,0,291,140,0,143923,26802,144537,480867,53737,53737
"26",2010,"2010016","Asia",NA,935,NA,65938712,2116494,1358219,4692612,3702,46348,0,0,74,0,0,41719,197176,62,68543,20924,258130,0,42399,6148292,0,131726,16157,0,9,0,80721,45,0,2551,9,321370,74,31958,498830,0,4,128,660513,62,73162,0,16,6752,0,3470,4633423,311396,109740,3041,0,521,0,95,15,369,204,0,10822,1958,67814,832,7179,4,0,11,461,2067587,11,0,26685,2462,75,202305,0,0,182,3405,97537,0,0,0,0,118980,330100,2211,4,89084,0,0,46,992,34,0,0,0,42,0,4,14805,131,9339116,3022485,105037,1921363,3669,0,71339,20258,16,110397,454406,77999,2784,0,98755,31546,919103,6313,167329,0,1,24663,0,11436,55,9,9,1273262,1680,0,78,0,0,354,318,0,4840,0,0,20481,0,0,172504,11,2347860,4,0,1302870,42132,0,15751,11,32,23684,0,142612,0,19176,11914,3728555,34,21,59,9,69410,1689710,66765,3710,55,13983,812284,29886,0,128329,3806671,4,0,0,0,0,0,0,0,0,58388,74,2891,35,4,123157,0,514,160,0,213079,19805,18194,7523,783476,2878841,527918,127,10114,19031,793656,59209,243832,20485,2,0,0,16,32972,153185,15094,0,0,760,642677,72661,255304,377,385173,23,6232,420264,0,539,336560,0,0,791184,878,333,458335,458335
"27",2010,"2010017","Europe",NA,908,NA,70678025,340386,635984,228466,1026191,1510720,44,6992,195548,728,3977,421120,641854,3232,235438,390769,885580,2321,5910,352908,20278,1263389,390748,1449,26419,3767,1513,251529,4403,1369764,3489,588331,386,4703,519199,24419,20163,101225,70815,139264,221757,965,17507,9274,15573,162780,955128,96716,1877,528403,34762,95502,3,10196,130617,660546,169432,60419,107326,663020,25253,194397,157902,7730,14270,215055,618461,263623,27091,22671,62185,140697,2017,112859,999,12438,5271,245280,1141102,0,99,21339,41106,663900,2299635,219667,9337,347686,15512,10006,0,1,18096,63064,37632,28403,77828,174,33112,348298,25939,1099677,188842,373182,395882,472283,8148,76012,1393765,153584,131924,36603,3698999,181041,191,17199,688301,47263,234258,195001,930,13573,63666,3462,460351,58434,122485,15670,82894,515,100655,34772,2,0,30679,94938,0,106147,114,26244,35518,145293,8138,2553692,73022,21513,3404,24,46088,470393,132,77353,18941,9221,334371,0,296815,49,122150,3473,772794,211,8750,1670,90694,372187,458141,2938195,1336976,76,3642,108149,752435,14,2961692,5785458,27212,3011,6018,13190,1,7233,900,2211,17056,34804,262631,719354,5349,34611,54004,21578,240744,98761,349,239657,308382,2,670687,343868,11710,35341,212154,221022,511053,140805,519844,228273,3898,47780,1,369,25208,556442,2396501,218889,124,663,68887,4370815,13119,1287882,44446,685326,137,105392,1423808,939,250690,407291,1,65,21333,34443,138042,926363,926363
"28",2010,"2010018","Latin America and the Caribbean",NA,904,NA,8262433,165015,66135,304,280,1108,0,72,6881,1563,7630,256508,796,4992,5395,7301,8,1528,63,174,4652,332,8719,5143,30,147,20,441865,2881,126,23,208913,3978,142,1726,38,26,1323,173,261,41448,106,204,37,125,251412,101348,4440,19,1262293,2,159,12,27514,379,3081,69915,8813,91,3729,936,248,2409,0,20814,118149,82910,4276,62490,59,31,425,16,252,40,4,20,1391,168697,3862,12,41,27,6852,67613,237,28,4594,416,10508,9558,13,73845,74,941,57426,393741,4,56891,4857,525,14362,1755,1792,821,1802,2,8154,259343,32782,67066,2062,73,223,85,133,12,1089,517,24836,20,46,368,102,1347,234,67,19,405,12,183,107,0,14138,3,4,2,61769,6,154,18,284,2909,2383,1573,119,62,14,81,30066,8,1125,328011,62,2435,11,2382,14,2188,32,1180,24,21583,9,636348,395438,7823,15818,198819,16395,56,29845,494,1138,6360,12192,25,1043,11469,13135,105,14763,0,54,80,2327,424,1388,29,10,346,2169,540,1273,1,64,2995,0,285573,55,2299,19,33815,5297,14380,20209,12,997,49,48,0,540,15932,174,2203,25,1469,4,89,7212,80,43849,129,1158048,3062,157196,39,204,106711,402,13,8,28,23,176,1200164,1200164
"29",2010,"2010019","Northern America",NA,905,NA,50970861,2104731,18253,100275,85695,65713,0,0,12976,75,29299,201274,75883,6133,93727,73143,20398,31811,1995,204852,70963,66711,54605,50679,1605,10796,2210,85656,4095,156578,355,375877,95,3945,79829,1010,6225,33927,182967,38300,871436,240,235,750,0,120890,2535293,436221,16609,719020,175,1655,0,94782,27086,86182,1068599,40015,20024,96828,340,38278,51161,1330,38579,852191,448844,187128,1236078,55,32319,14515,280,177333,0,254,65235,29205,251646,70,115,830,17783,23232,812879,137419,285,217459,0,43084,430,0,832780,18979,85,352974,652048,0,497639,121274,5782,2302696,108774,468934,172037,162723,0,164486,645561,801873,392992,74074,22701,114341,0,36781,6608,219356,32327,205988,90,75672,11918,0,43094,3240,3335,610,85023,0,1435,15451,6063,490,485,13160,0,12238357,6803,150,1035,1525,6322,116637,1125,75068,680,0,56924,192952,85,39979,263026,625,244019,0,33580,0,32063,1385,439700,0,109985,410,38406,455344,2297913,639642,338520,1711045,1650,1239666,43889,265,252559,478704,4920,0,18311,24142,285,33502,15889,0,0,48251,36584,66584,905,36985,39863,1605,13145,14668,0,142830,124219,0,99485,174429,38617,55695,15438,55210,60964,83088,4881,236921,0,2390,0,16666,307666,19496,127577,2260,147,0,46388,390451,24235,1261494,53065,267046,45,58376,34706,0,196910,1401125,0,0,37448,20882,54097,1149563,1149563
